"","sd","algorithms","lang","n_parallel","u_duration","epenthesis_rate"
"555",40,"naive_bayes","fr",4,2,0.14
"556",40,"naive_bayes","fr",4,3,0.1
"557",40,"naive_bayes","fr",5,0,0.04
"558",40,"naive_bayes","fr",5,1,0.12
"559",40,"naive_bayes","fr",5,2,0.08
"560",40,"naive_bayes","fr",5,3,0.06
"561",45,"viterbi","jpn",1,0,0.06
"562",45,"viterbi","jpn",1,1,0.28
"563",45,"viterbi","jpn",1,2,0.16
"564",45,"viterbi","jpn",1,3,0.14
"565",45,"viterbi","jpn",2,0,0.54
"566",45,"viterbi","jpn",2,1,0.52
"567",45,"viterbi","jpn",2,2,0.64
"568",45,"viterbi","jpn",2,3,0.6
"569",45,"viterbi","jpn",3,0,0.36
"570",45,"viterbi","jpn",3,1,0.5
"571",45,"viterbi","jpn",3,2,0.6
"572",45,"viterbi","jpn",3,3,0.58
"573",45,"viterbi","jpn",4,0,0.36
"574",45,"viterbi","jpn",4,1,0.4
"575",45,"viterbi","jpn",4,2,0.68
"576",45,"viterbi","jpn",4,3,0.56
"577",45,"viterbi","jpn",5,0,0.44
"578",45,"viterbi","jpn",5,1,0.58
"579",45,"viterbi","jpn",5,2,0.7
"580",45,"viterbi","jpn",5,3,0.46
"581",45,"viterbi","fr",1,0,0
"582",45,"viterbi","fr",1,1,0.1
"583",45,"viterbi","fr",1,2,0.2
"584",45,"viterbi","fr",1,3,0.24
"585",45,"viterbi","fr",2,0,0.02
"586",45,"viterbi","fr",2,1,0.32
"587",45,"viterbi","fr",2,2,0.48
"588",45,"viterbi","fr",2,3,0.48
"589",45,"viterbi","fr",3,0,0
"590",45,"viterbi","fr",3,1,0.22
"591",45,"viterbi","fr",3,2,0.38
"592",45,"viterbi","fr",3,3,0.48
"593",45,"viterbi","fr",4,0,0.02
"594",45,"viterbi","fr",4,1,0.3
"595",45,"viterbi","fr",4,2,0.44
"596",45,"viterbi","fr",4,3,0.4
"597",45,"viterbi","fr",5,0,0
"598",45,"viterbi","fr",5,1,0.34
"599",45,"viterbi","fr",5,2,0.34
"600",45,"viterbi","fr",5,3,0.68
"601",45,"naive_bayes","jpn",1,0,0
"602",45,"naive_bayes","jpn",1,1,0.02
"603",45,"naive_bayes","jpn",1,2,0.04
"604",45,"naive_bayes","jpn",1,3,0.02
"605",45,"naive_bayes","jpn",2,0,0.02
"606",45,"naive_bayes","jpn",2,1,0.08
"607",45,"naive_bayes","jpn",2,2,0.1
"608",45,"naive_bayes","jpn",2,3,0.02
